City,Year,Cost of Living,Violent Crime Rate
New York City, 2024, 100, 278.0
New York City, 2023, 100, 286.3
New York City, 2022, 100, 296.4
New York City, 2021, 100, 255.7
New York City, 2020, 100, 229.7
New York City, 2019, 100, 221.4
New York City, 2018, 100, 216.0
New York City, 2017, 100, 211.1
New York City, 2016, 100, 222.2
New York City, 2015, 100, 229.3
New York City, 2014, 100, 234.8
Houston, 2024, 69.9, 566.3
Houston, 2023, 69.9, 544.5
Houston, 2022, 63.9, 563.5
Houston, 2021, 66.1, 558.9
Houston, 2020, 65.1, 570.6
Houston, 2019, 63.6, 530.8
Houston, 2018, 70.4, 501.3
Houston, 2017, 75.4, 523.5
Houston, 2016, 75.2, 520.7
Houston, 2015, 89.9, 514.4
Houston, 2014, 86.5, 528.7
Tampa, 2024, 82.0, 203.2
Tampa, 2023, 76.3, 221.8
Tampa, 2022, 75.8, 234.9
Tampa, 2021, 79.5, 177.3
Tampa, 2020, 67.1, 212.7
Tampa, 2019, 70.5, 198.1
Tampa, 2018, 76.5, 197.0
Tampa, 2017, 75.8, 225.9
Tampa, 2016, 72.4, 242.5
Tampa, 2015, 75.7, 287.5
Tampa, 2014, 76.2, 273.4
Phoenix, 2024, 69.0, 351.5
Phoenix, 2023, 74.0, 366.1
Phoenix, 2022, 69.4, 395.1
Phoenix, 2021, 66.7, 381.1
Phoenix, 2020, 67.4, 386.0
Phoenix, 2019, 65.9, 379.3
Phoenix, 2018, 66.9, 396.9
Phoenix, 2017, 69.1, 419.9
Phoenix, 2016, 70.8, 402.9
Phoenix, 2015, 72.3, 373.3
Phoenix, 2014, 71.6, 382.4
San Francisco, 2024, 92.5, 357.4
San Francisco, 2023, 99.6, 495.7
San Francisco, 2022, 93.9, 513.3
San Francisco, 2021, 93.3, 438.2
San Francisco, 2020, 91.5, 387.4
San Francisco, 2019, 91.7, 453.6
San Francisco, 2018, 97.8, 465.3
San Francisco, 2017, 99.1, 501.4
San Francisco, 2016, 103.4, 473.6
San Francisco, 2015, 97.0, 527.6
San Francisco, 2014, 93.7, 490.9
